,Title,Link,Date
0,US FED,US FED,US FED
1,"Press Release

Minutes of the Federal Open Market Committee, June 13-14, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230705a.htm,07/05/2023
2,"Statistical Release
Foreign Exchange Rates - G.5",https://www.federalreserve.gov/releases/g5/current/default.htm,07/03/2023
3,BOJ,BOJ,BOJ
4,Output Gap and Potential Growth Rate,https://www.boj.or.jp/en/research/research_data/gap/index.htm,"July  5, 2023"
5,Sources of Changes in Current Account Balances (Projections for July)[XLSX 17KB],https://www.boj.or.jp/en/statistics/boj/fm/juqp/juqp2307.xlsx,"July  5, 2023"
6,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],https://www.boj.or.jp/en/statistics/boj/other/mei/release/2023/mei230630.xlsx,"July  4, 2023"
7,T-Bills Purchased by the Bank of Japan[XLSX 17KB],https://www.boj.or.jp/en/statistics/boj/other/tmei/release/2023/tmei230630.xlsx,"July  4, 2023"
8,Collateral Accepted by the Bank of Japan (End of June)[XLSX 17KB],https://www.boj.or.jp/en/statistics/boj/other/col/col2306.xlsx,"July  4, 2023"
9,Bank of Japan Accounts (June 30),https://www.boj.or.jp/en/statistics/boj/other/acmai/release/2023/ac230630.htm,"July  4, 2023"
10,Tankan (June): Comprehensive Data Set,https://www.boj.or.jp/en/statistics/tk/tankan06b.htm,"July  4, 2023"
11,Monetary Base (June),https://www.boj.or.jp/en/statistics/boj/other/mb/mb.htm,"July  4, 2023"
12,Sources of Changes in Current Account Balances and Market Operations (June)[XLSX 28KB],https://www.boj.or.jp/en/statistics/boj/fm/juqf/juqf06.xlsx,"July  3, 2023"
13,Tankan (June): Summary and Outline,https://www.boj.or.jp/en/statistics/tk/tankan06a.htm,"July  3, 2023"
14,Sources of Changes in Current Account Balances (Projections for July)[XLSX 17KB],https://www.boj.or.jp/en/statistics/boj/fm/juqp/juqp2307.xlsx,"July  5, 2023"
15,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],https://www.boj.or.jp/en/statistics/boj/other/mei/release/2023/mei230630.xlsx,"July  4, 2023"
16,T-Bills Purchased by the Bank of Japan[XLSX 17KB],https://www.boj.or.jp/en/statistics/boj/other/tmei/release/2023/tmei230630.xlsx,"July  4, 2023"
17,Collateral Accepted by the Bank of Japan (End of June)[XLSX 17KB],https://www.boj.or.jp/en/statistics/boj/other/col/col2306.xlsx,"July  4, 2023"
18,Bank of Japan Accounts (June 30),https://www.boj.or.jp/en/statistics/boj/other/acmai/release/2023/ac230630.htm,"July  4, 2023"
19,Tankan (June): Comprehensive Data Set,https://www.boj.or.jp/en/statistics/tk/tankan06b.htm,"July  4, 2023"
20,Monetary Base (June),https://www.boj.or.jp/en/statistics/boj/other/mb/mb.htm,"July  4, 2023"
21,Sources of Changes in Current Account Balances and Market Operations (June)[XLSX 28KB],https://www.boj.or.jp/en/statistics/boj/fm/juqf/juqf06.xlsx,"July  3, 2023"
22,Tankan (June): Summary and Outline,https://www.boj.or.jp/en/statistics/tk/tankan06a.htm,"July  3, 2023"
23,Output Gap and Potential Growth Rate,https://www.boj.or.jp/en/research/research_data/gap/index.htm,"July  5, 2023"
24,ECB,ECB,ECB
25,"What do we know about the global financial safety net? Rationale, data and possible evolution",https://www.ecb.europa.eu/pub/pdf/scpops/GFSN_FINAL~adc4c00068.en.zip?41354baffdf5a5e7900d1d432ebe08d1,05-Jul-23
26,Rational inattention and the business cycle effects of productivity and news shocks,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2827~0b39cb6d81.en.pdf?8a3b78bea84004eeed24b40b42beb800,04-Jul-23
27,Survey on credit terms and conditions in euro-dominated securities financing and OTC derivatives markets (SESFOD) - June 2023,https://www.ecb.europa.eu/pub/pdf/other/SESFOD_2023_Q2_summary~d1605ff2ab.en.pdf?8000d47b8b04e0bfeed7fe604e15dd0c,04-Jul-23
28,Results of the June 2023 Survey on credit terms and conditions in euro-denominated securities financing and over-the-counter derivatives markets (SESFOD),https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230704~b5f8bcb45f.en.html,04-Jul-23
29,Implications for macroprudential policy as the financial cycle turns,https://www.ecb.europa.eu/pub/financial-stability/macroprudential-bulletin/html/ecb.mpbu202307_01~ef3b5994fb.en.html,03-Jul-23
30,BOE,BOE,BOE
31,Annual Reports 2023,https://www.bankofengland.co.uk/annual-report/annual-reports-2023,"
                            06 July 2023
                        "
32,Bank of England Annual Report and Accounts...,https://www.bankofengland.co.uk/annual-report/2023,"
                            06 July 2023
                        "
33,Monthly Decision Maker Panel data - June...,https://www.bankofengland.co.uk/decision-maker-panel/2023/june-2023,"
                            06 July 2023
                        "
34,The Bank of England’s Climate Transition...,https://www.bankofengland.co.uk/climate-change/the-bank-of-englands-climate-transition-plan,"
                            06 July 2023
                        "
35,Report on the Bank's official market operations...,https://www.bankofengland.co.uk/sterling-monetary-framework/report-2022-23,"
                            06 July 2023
                        "
36,Alternative Liquidity Facility Annual Report...,https://www.bankofengland.co.uk/alternative-liquidity-facility/2023/alternative-liquidity-facility-annual-report-2022-23,"
                            06 July 2023
                        "
37,Asset Purchase Facility Annual Report 2022/23,https://www.bankofengland.co.uk/asset-purchase-facility/2023/2022-23,"
                            06 July 2023
                        "
38,The Bank of England’s climate-related financial...,https://www.bankofengland.co.uk/climate-change/the-bank-of-englands-climate-related-financial-disclosure-2023,"
                            06 July 2023
                        "
39,PRA Practitioner Panel and Insurance Sub-committee...,https://www.bankofengland.co.uk/prudential-regulation/pra-practitioner-panel/pra-practitioner-panel-and-insurance-sub-committee---annual-report-2022-23,"
                            06 July 2023
                        "
40,Highlights from the Bank of England’s climate...,https://www.bankofengland.co.uk/climate-change/highlights-from-the-bank-of-englands-climate-disclosure-2023-and-transition-plan,"
                            06 July 2023
                        "
41,Consolidated balance sheet - 31 March 2022,https://www.bankofengland.co.uk/weekly-report/2022/consolidated-balance-sheet-31-march-2022,"
                            04 July 2023
                        "
42,BCBS,BCBS,BCBS
43,"
Core principles for effective banking supervision
",https://www.bis.org/bcbs/publ/d551.htm,"
								06 Jul 2023
	                        "
44,"
Newsletter on credit risk issues
",https://www.bis.org/publ/bcbs_nl32.htm,"
								04 Jul 2023
	                        "
45,CGFS,CGFS,CGFS
46,FSB,FSB,FSB
47,Addressing Structural Vulnerabilities from Liquidity Mismatch in Open-Ended Funds – Revisions to the FSB’s 2017 Policy Recommendations: Consultation report,https://www.fsb.org/2023/07/addressing-structural-vulnerabilities-from-liquidity-mismatch-in-open-ended-funds-revisions-to-the-fsbs-2017-policy-recommendations-consultation-report/,05-Jul-23
48,ISITC,ISITC,ISITC
49,FASB,FASB,FASB
50,ISO,ISO,ISO
51,FINRA,FINRA,FINRA
52,SEC,SEC,SEC
53,Statement on the Expiration of the SEC Staff No-Action Letter re: MiFID II,/news/statement/uyeda-statement-staff-no-action-letter-07-05-2023,"July 5, 2023"
54,ENISA,ENISA,ENISA
55,Checking-up on Health: Ransomware Accounts for 54% of Cybersecurity Threats,https://www.enisa.europa.eu/news/checking-up-on-health-ransomware-accounts-for-54-of-cybersecurity-threats,"July 05, 2023"
