,Organisation,Title,Link,Date
0,US FED,"FEDS 2023-045
Aggregate Implications of Deviations from Modigliani-Miller: A Sufficient Statistics Approach",https://www.federalreserve.gov/econres/feds/aggregate-implications-of-deviations-from-modigliani-miller-a-sufficient-statistics-approach.htm,6/30/2023
1,US FED,"Press Release

Federal Reserve Board issues enforcement actions with Herring Bancorp, Inc.,  Quontic Bank Acquisition Corp., and Quontic Bank Holdings Corp.",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230706a.htm,6/30/2023
2,US FED,"Press Release

Minutes of the Federal Open Market Committee, June 13-14, 2023",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230705a.htm,6/30/2023
3,US FED,"Statistical Release
Foreign Exchange Rates - G.5",https://www.federalreserve.gov/releases/g5/current/default.htm,6/30/2023
4,US FED,"FEDS Notes
A New Index to Measure U.S. Financial Conditions",https://www.federalreserve.gov/econres/notes/feds-notes/a-new-index-to-measure-us-financial-conditions-20230630.html,6/30/2023
5,US FED,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,6/29/2023
6,US FED,"Press Release

Federal Reserve Board issues enforcement action with Lake Shore MHC and Lake Shore Bancorp Inc.",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230630a.htm,6/29/2023
7,US FED,"Regulatory Reform
Discount Window Lending, 2021:Q2",https://www.federalreserve.gov/regreform/discount-window.htm,6/29/2023
8,US FED,"SR 23-5
Prudent Commercial Real Estate Loan Accommodations and Workouts",https://www.federalreserve.gov/supervisionreg/srletters/SR2305.htm,6/29/2023
9,US FED,"FEDS 2023-044
Interconnected DeFi: Ripple Effects from the Terra Collapse",https://www.federalreserve.gov/econres/feds/interconnected-defi-ripple-effects-from-the-terra-collapse.htm,6/29/2023
10,US FED,"FEDS Notes
Impact of Leverage Ratio Relief Announcement and Expiry on Bank Stock Prices",https://www.federalreserve.gov/econres/notes/feds-notes/impact-of-leverage-ratio-relief-announcement-and-expiry-on-bank-stock-prices-20230629.html,6/29/2023
11,US FED,"Joint Press Release

Agencies finalize policy statement on commercial real estate loan accommodations and workouts",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230629a.htm,6/28/2023
12,US FED,"Press Release

Federal Reserve names organizations certified as ready for FedNow® Service",https://www.federalreserve.gov/newsevents/pressreleases/other20230629a.htm,6/27/2023
13,US FED,"Statistical Release
Finance Companies - G.20",https://www.federalreserve.gov/releases/g20/20230629/,6/27/2023
14,US FED,"Speech by Chair Jerome H. Powell

Financial Stability and Economic Developments",https://www.federalreserve.gov/newsevents/speech/powell20230629a.htm,6/27/2023
15,US FED,"Press Release

Federal Reserve Board releases results of annual bank stress test, which demonstrates that large banks are well positioned to weather a severe recession and continue to lend to households and businesses even during a severe recession",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230628a.htm,6/27/2023
16,US FED,"Press Release

Federal Reserve Board announces approval of application by Vantage Bank Texas",https://www.federalreserve.gov/newsevents/pressreleases/orders20230627a.htm,6/27/2023
17,US FED,"FEDS Notes
The Transmission of Global Risk",https://www.federalreserve.gov/econres/notes/feds-notes/the-transmission-of-global-risk-20230627.html,6/26/2023
18,US FED,"Statistical Release
Money Stock Measures - H.6 Release",https://www.federalreserve.govhttps://www.federalreserve.gov/releases/h6/current/default.htm,6/26/2023
19,US FED,"FEDS 2023-043
College Networks and Re-employment of Displaced Workers",https://www.federalreserve.gov/econres/feds/college-networks-and-re-employment-of-displaced-workers.htm,6/26/2023
20,US FED,"FEDS 2023-042
A Comprehensive Empirical Evaluation of Biases in Expectation Formation",https://www.federalreserve.gov/econres/feds/a-comprehensive-empirical-evaluation-of-biases-in-expectation-formation.htm,6/25/2023
21,US FED,"Press Release

Federal Reserve Board announces approval of application by Banco de Reservas de la República Dominicana",https://www.federalreserve.gov/newsevents/pressreleases/orders20230626a.htm,6/23/2023
22,US FED,"IFDP 2023-1376
The Price of Macroeconomic Uncertainty: Evidence from Daily Options",https://www.federalreserve.gov/econres/ifdp/the-price-of-macroeconomic-uncertainty-evidence-from-daily-options.htm,6/23/2023
23,US FED,"FEDS 2023-041
End of an Era: The Coming Long-Run Slowdown in Corporate Profit Growth and Stock Returns",https://www.federalreserve.gov/econres/feds/end-of-an-era-the-coming-long-run-slowdown-in-corporate-profit-growth-and-stock-returns.htm,6/23/2023
24,US FED,"Speech by Governor Michelle W. Bowman

Responsive and Responsible Bank Regulation and Supervision",https://www.federalreserve.gov/newsevents/speech/bowman20230625a.htm,6/23/2023
25,US FED,"FEDS Notes
Distressed Firms and the Large Effects of Monetary Policy Tightenings",https://www.federalreserve.gov/econres/notes/feds-notes/distressed-firms-and-the-large-effects-of-monetary-policy-tightenings-20230623.html,6/23/2023
26,US FED,"FEDS Notes
""The International Role of the U.S. Dollar"" Post-COVID Edition",https://www.federalreserve.gov/econres/notes/feds-notes/the-international-role-of-the-us-dollar-post-covid-edition-20230623.html,6/23/2023
27,US FED,"FEDS Notes
2nd Annual International Roles of the U.S. Dollar Conference",https://www.federalreserve.gov/econres/notes/feds-notes/2nd-annual-international-roles-of-the-us-dollar-conference-20230623.html,6/23/2023
28,US FED,"Joint Press Release

Agencies release list of distressed or underserved nonmetropolitan middle-income geographies",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230623a.htm,6/23/2023
29,US FED,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,6/23/2023
30,US FED,"FEDS 2023-040
Finite-State Markov-Chain Approximations: A Hidden Markov Approach",https://www.federalreserve.gov/econres/feds/finite-state-markov-chain-approximations-a-hidden-markov-approach.htm,6/22/2023
31,US FED,"FEDS 2023-039
The FOMC's Use of Operational Targets: 85 Years and Counting",https://www.federalreserve.gov/econres/feds/the-fomcs-use-of-operational-targets-85-years-and-counting.htm,6/22/2023
