,Title,Link,Date
0,(Research Paper) Heterogeneity and Wage Growth of Full-time Workers in Japan: An Empirical Analysis Using Micro Data,/en/research/wps_rev/wps_2023/wp23e11.htm,"June 19, 2023"
1,BOJ Current Account Balances by Sector (May)[XLSX 39KB],/en/statistics/boj/other/cabs/cabs.xlsx,"June 16, 2023"
2,"Amendment to ""Principal Terms and Conditions of Complementary Deposit Facility""[PDF 108KB]",/en/mopo/mpmdeci/mpr_2023/mpr230616a.pdf,"June 16, 2023"
3,Statement on Monetary Policy[PDF 373KB],/en/mopo/mpmdeci/mpr_2023/k230616a.pdf,"June 16, 2023"
4,Loan Disbursement under the Fund-Provisioning Measure to Stimulate Bank Lending(June 2023)[PDF 21KB],/en/mopo/measures/mkt_ope/len_b/mope230615a.pdf,"June 15, 2023"
5,Developments in Real Exports and Real Imports,/en/research/research_data/reri/index.htm,"June 15, 2023"
6,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230609.xlsx,"June 13, 2023"
7,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230609.xlsx,"June 13, 2023"
8,"NGFS publishes the ""NGFS Survey on Climate Scenarios - Key findings""",/en/about/climate/cli230613a.htm,"June 13, 2023"
9,Bank of Japan Accounts (June 10),/en/statistics/boj/other/acmai/release/2023/ac230610.htm,"June 13, 2023"
10,Basic Figures on Fails (May)[PDF 288KB],/en/statistics/set/bffail/sjgb2305.pdf,"June 12, 2023"
11,Corporate Goods Price Index (May)[PDF 205KB],/en/statistics/pi/cgpi_release/cgpi2305.pdf,"June 12, 2023"
12,Average Contract Interest Rates on Loans and Discounts (Apr.)[PDF 148KB],/en/statistics/dl/loan/yaku/yaku2304.pdf,"June 12, 2023"
13,Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan[PDF 186KB],/en/mopo/mpmdeci/mpr_2023/mpr230609a.pdf,"June  9, 2023"
14,Money Stock (May)[PDF 146KB],/en/statistics/money/ms/ms2305.pdf,"June  9, 2023"
15,"Revision of Figures for the ""International Investment Position of Japan (Quarterly Data)""",/en/statistics/outline/notice_2023/not230608a.htm,"June  8, 2023"
16,Principal Figures of Financial Institutions (May)[PDF 235KB],/en/statistics/dl/depo/kashi/kasi2305.pdf,"June  8, 2023"
17,Fifth Meeting of the Cross-Industry Forum on Interest Rate Benchmarks,/en/paym/market/i_forum/ifo230607a.htm,"June  7, 2023"
18,Amounts Outstanding in the Call Money Market (May)[XLSX 34KB],/en/statistics/market/short/call/call.xlsx,"June  7, 2023"
19,Consumption Activity Index,/en/research/research_data/cai/index.htm,"June  7, 2023"
20,Market Operations by the Bank of Japan (May)[XLSX 99KB],/en/statistics/boj/fm/ope/m_release/2023/ope2305.xlsx,"June  7, 2023"
21,Monetary Base and the Bank of Japan's Transactions (May)[PDF 133KB],/en/statistics/boj/other/mbt/mbt2305.pdf,"June  7, 2023"
22,Bank of Japan's Transactions with the Government (May)[PDF 91KB],/en/statistics/boj/other/tseifu/release/2023/seifu2305.pdf,"June  7, 2023"
23,Sources of Changes in Current Account Balances (Projections for June)[XLSX 17KB],/en/statistics/boj/fm/juqp/juqp2306.xlsx,"June  5, 2023"
24,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230531.xlsx,"June  2, 2023"
25,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230531.xlsx,"June  2, 2023"
26,Collateral Accepted by the Bank of Japan (End of May)[XLSX 17KB],/en/statistics/boj/other/col/col2305.xlsx,"June  2, 2023"
27,"Financial System Report Annex ""Regional and Shinkin Banks' Recent Efforts to Address Climate Change""",/en/research/brp/fsr/fsrb230602.htm,"June  2, 2023"
28,Bank of Japan Accounts (May 31),/en/statistics/boj/other/acmai/release/2023/ac230531.htm,"June  2, 2023"
29,Monetary Base (May),/en/statistics/boj/other/mb/mb.htm,"June  2, 2023"
30,Bond Market Survey (May 2023)[PDF 160KB],/en/paym/bond/bond_list/bond2305.pdf,"June  1, 2023"
31,Sources of Changes in Current Account Balances and Market Operations (May)[XLSX 28KB],/en/statistics/boj/fm/juqf/juqf05.xlsx,"June  1, 2023"
32,"Amendment to ""Principal Terms and Conditions of Complementary Deposit Facility""[PDF 108KB]",/en/mopo/mpmdeci/mpr_2023/mpr230616a.pdf,"June 16, 2023"
33,Statement on Monetary Policy[PDF 373KB],/en/mopo/mpmdeci/mpr_2023/k230616a.pdf,"June 16, 2023"
34,Loan Disbursement under the Fund-Provisioning Measure to Stimulate Bank Lending(June 2023)[PDF 21KB],/en/mopo/measures/mkt_ope/len_b/mope230615a.pdf,"June 15, 2023"
35,Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan[PDF 186KB],/en/mopo/mpmdeci/mpr_2023/mpr230609a.pdf,"June  9, 2023"
36,BOJ Current Account Balances by Sector (May)[XLSX 39KB],/en/statistics/boj/other/cabs/cabs.xlsx,"June 16, 2023"
37,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230609.xlsx,"June 13, 2023"
38,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230609.xlsx,"June 13, 2023"
39,Bank of Japan Accounts (June 10),/en/statistics/boj/other/acmai/release/2023/ac230610.htm,"June 13, 2023"
40,Basic Figures on Fails (May)[PDF 288KB],/en/statistics/set/bffail/sjgb2305.pdf,"June 12, 2023"
41,Average Contract Interest Rates on Loans and Discounts (Apr.)[PDF 148KB],/en/statistics/dl/loan/yaku/yaku2304.pdf,"June 12, 2023"
42,Corporate Goods Price Index (May)[PDF 205KB],/en/statistics/pi/cgpi_release/cgpi2305.pdf,"June 12, 2023"
43,Money Stock (May)[PDF 146KB],/en/statistics/money/ms/ms2305.pdf,"June  9, 2023"
44,"Revision of Figures for the ""International Investment Position of Japan (Quarterly Data)""",/en/statistics/outline/notice_2023/not230608a.htm,"June  8, 2023"
45,Principal Figures of Financial Institutions (May)[PDF 235KB],/en/statistics/dl/depo/kashi/kasi2305.pdf,"June  8, 2023"
46,Amounts Outstanding in the Call Money Market (May)[XLSX 34KB],/en/statistics/market/short/call/call.xlsx,"June  7, 2023"
47,Market Operations by the Bank of Japan (May)[XLSX 99KB],/en/statistics/boj/fm/ope/m_release/2023/ope2305.xlsx,"June  7, 2023"
48,Monetary Base and the Bank of Japan's Transactions (May)[PDF 133KB],/en/statistics/boj/other/mbt/mbt2305.pdf,"June  7, 2023"
