,Title,Link,Date
0,US FED,US FED,US FED
1,"Statistical Release
Foreign Exchange Rates - G.5",https://www.federalreserve.gov/releases/g5/current/default.htm,7/3/2023
2,"FEDS Notes
A New Index to Measure U.S. Financial Conditions",https://www.federalreserve.gov/econres/notes/feds-notes/a-new-index-to-measure-us-financial-conditions-20230630.html,6/30/2023
3,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,6/30/2023
4,"Press Release

Federal Reserve Board issues enforcement action with Lake Shore MHC and Lake Shore Bancorp Inc.",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230630a.htm,6/30/2023
5,"Regulatory Reform
Discount Window Lending, 2021:Q2",https://www.federalreserve.gov/regreform/discount-window.htm,6/30/2023
6,"SR 23-5
Prudent Commercial Real Estate Loan Accommodations and Workouts",https://www.federalreserve.gov/supervisionreg/srletters/SR2305.htm,6/30/2023
7,"FEDS 2023-044
Interconnected DeFi: Ripple Effects from the Terra Collapse",https://www.federalreserve.gov/econres/feds/interconnected-defi-ripple-effects-from-the-terra-collapse.htm,6/29/2023
8,"FEDS Notes
Impact of Leverage Ratio Relief Announcement and Expiry on Bank Stock Prices",https://www.federalreserve.gov/econres/notes/feds-notes/impact-of-leverage-ratio-relief-announcement-and-expiry-on-bank-stock-prices-20230629.html,6/29/2023
9,"Joint Press Release

Agencies finalize policy statement on commercial real estate loan accommodations and workouts",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230629a.htm,6/29/2023
10,"Press Release

Federal Reserve names organizations certified as ready for FedNow® Service",https://www.federalreserve.gov/newsevents/pressreleases/other20230629a.htm,6/29/2023
11,"Statistical Release
Finance Companies - G.20",https://www.federalreserve.gov/releases/g20/20230629/,6/29/2023
12,"Speech by Chair Jerome H. Powell

Financial Stability and Economic Developments",https://www.federalreserve.gov/newsevents/speech/powell20230629a.htm,6/29/2023
13,"Press Release

Federal Reserve Board releases results of annual bank stress test, which demonstrates that large banks are well positioned to weather a severe recession and continue to lend to households and businesses even during a severe recession",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230628a.htm,6/28/2023
14,"Press Release

Federal Reserve Board announces approval of application by Vantage Bank Texas",https://www.federalreserve.gov/newsevents/pressreleases/orders20230627a.htm,6/27/2023
15,"FEDS Notes
The Transmission of Global Risk",https://www.federalreserve.gov/econres/notes/feds-notes/the-transmission-of-global-risk-20230627.html,6/27/2023
16,"Statistical Release
Money Stock Measures - H.6 Release",https://www.federalreserve.govhttps://www.federalreserve.gov/releases/h6/current/default.htm,6/27/2023
17,"FEDS 2023-043
College Networks and Re-employment of Displaced Workers",https://www.federalreserve.gov/econres/feds/college-networks-and-re-employment-of-displaced-workers.htm,6/27/2023
18,"FEDS 2023-042
A Comprehensive Empirical Evaluation of Biases in Expectation Formation",https://www.federalreserve.gov/econres/feds/a-comprehensive-empirical-evaluation-of-biases-in-expectation-formation.htm,6/27/2023
19,"Press Release

Federal Reserve Board announces approval of application by Banco de Reservas de la República Dominicana",https://www.federalreserve.gov/newsevents/pressreleases/orders20230626a.htm,6/26/2023
20,"IFDP 2023-1376
The Price of Macroeconomic Uncertainty: Evidence from Daily Options",https://www.federalreserve.gov/econres/ifdp/the-price-of-macroeconomic-uncertainty-evidence-from-daily-options.htm,6/26/2023
21,"FEDS 2023-041
End of an Era: The Coming Long-Run Slowdown in Corporate Profit Growth and Stock Returns",https://www.federalreserve.gov/econres/feds/end-of-an-era-the-coming-long-run-slowdown-in-corporate-profit-growth-and-stock-returns.htm,6/26/2023
22,"Speech by Governor Michelle W. Bowman

Responsive and Responsible Bank Regulation and Supervision",https://www.federalreserve.gov/newsevents/speech/bowman20230625a.htm,6/25/2023
23,"FEDS Notes
2nd Annual International Roles of the U.S. Dollar Conference",https://www.federalreserve.gov/econres/notes/feds-notes/2nd-annual-international-roles-of-the-us-dollar-conference-20230623.html,6/23/2023
24,"FEDS Notes
Distressed Firms and the Large Effects of Monetary Policy Tightenings",https://www.federalreserve.gov/econres/notes/feds-notes/distressed-firms-and-the-large-effects-of-monetary-policy-tightenings-20230623.html,6/23/2023
25,"FEDS Notes
""The International Role of the U.S. Dollar"" Post-COVID Edition",https://www.federalreserve.gov/econres/notes/feds-notes/the-international-role-of-the-us-dollar-post-covid-edition-20230623.html,6/23/2023
26,"Joint Press Release

Agencies release list of distressed or underserved nonmetropolitan middle-income geographies",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230623a.htm,6/23/2023
27,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,6/23/2023
28,"FEDS 2023-040
Finite-State Markov-Chain Approximations: A Hidden Markov Approach",https://www.federalreserve.gov/econres/feds/finite-state-markov-chain-approximations-a-hidden-markov-approach.htm,6/23/2023
29,"FEDS 2023-039
The FOMC's Use of Operational Targets: 85 Years and Counting",https://www.federalreserve.gov/econres/feds/the-fomcs-use-of-operational-targets-85-years-and-counting.htm,6/23/2023
30,"Press Release

Federal Open Market Committee announces tentative meeting schedule for 2024",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230623a.htm,6/23/2023
31,"Press Release

Federal Reserve Board announces termination of enforcement actions with Commerzbank AG, Frankfurt am Main and Commerzbank AG New York Branch",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230623a.htm,6/23/2023
32,"FEDS 2023-038
Inflation and Real Activity over the Business Cycle",https://www.federalreserve.gov/econres/feds/inflation-and-real-activity-over-the-business-cycle.htm,6/22/2023
33,"FEDS 2023-037
Firm Financial Conditions and the Transmission of Monetary Policy",https://www.federalreserve.gov/econres/feds/firm-financial-conditions-and-the-transmission-of-monetary-policy.htm,6/22/2023
34,"Surveys and Reports
Senior Credit Officer Opinion Survey on Dealer Financing Terms (SCOOS), June 2023",https://www.federalreserve.govhttps://www.federalreserve.gov/data/scoos.htm,6/22/2023
35,"Speech by Governor Michelle W. Bowman

Opening Remarks",https://www.federalreserve.gov/newsevents/speech/bowman20230622a.htm,6/22/2023
36,"Speech by Governor Christopher J. Waller

Welcoming Remarks",https://www.federalreserve.gov/newsevents/speech/waller20230622a.htm,6/22/2023
37,"Testimony by Chair Jerome H. Powell

Semiannual Monetary Policy Report to the Congress",https://www.federalreserve.gov/newsevents/testimony/powell20230621a.htm,6/21/2023
38,"Testimony by Governor Philip N. Jefferson

Nomination hearing",https://www.federalreserve.gov/newsevents/testimony/jefferson20230621a.htm,6/21/2023
39,"Testimony by Governor Lisa D. Cook

Nomination hearing",https://www.federalreserve.gov/newsevents/testimony/cook20230621a.htm,6/21/2023
40,BOJ,BOJ,BOJ
41,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230630.xlsx,"July  4, 2023"
42,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230630.xlsx,"July  4, 2023"
43,Collateral Accepted by the Bank of Japan (End of June)[XLSX 17KB],/en/statistics/boj/other/col/col2306.xlsx,"July  4, 2023"
44,Bank of Japan Accounts (June 30),/en/statistics/boj/other/acmai/release/2023/ac230630.htm,"July  4, 2023"
45,Tankan (June): Comprehensive Data Set,/en/statistics/tk/tankan06b.htm,"July  4, 2023"
46,Monetary Base (June),/en/statistics/boj/other/mb/mb.htm,"July  4, 2023"
47,Sources of Changes in Current Account Balances and Market Operations (June)[XLSX 28KB],/en/statistics/boj/fm/juqf/juqf06.xlsx,"July  3, 2023"
48,Tankan (June): Summary and Outline,/en/statistics/tk/tankan06a.htm,"July  3, 2023"
49,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230630.xlsx,"July  4, 2023"
50,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230630.xlsx,"July  4, 2023"
51,Collateral Accepted by the Bank of Japan (End of June)[XLSX 17KB],/en/statistics/boj/other/col/col2306.xlsx,"July  4, 2023"
52,Bank of Japan Accounts (June 30),/en/statistics/boj/other/acmai/release/2023/ac230630.htm,"July  4, 2023"
53,Tankan (June): Comprehensive Data Set,/en/statistics/tk/tankan06b.htm,"July  4, 2023"
54,Monetary Base (June),/en/statistics/boj/other/mb/mb.htm,"July  4, 2023"
55,Sources of Changes in Current Account Balances and Market Operations (June)[XLSX 28KB],/en/statistics/boj/fm/juqf/juqf06.xlsx,"July  3, 2023"
56,Tankan (June): Summary and Outline,/en/statistics/tk/tankan06a.htm,"July  3, 2023"
57,ECB,ECB,ECB
58,US FED,US FED,3 July 2023
59,BOE,BOE,BOE
60,BCBS,BCBS,BCBS
61,"
Margin dynamics in centrally cleared commodities markets in 2022
",https://www.bis.org/bcbs/publ/d550.htm,"
								24 May 2023
	                        "
62,"
Regulatory Consistency Assessment Programme (RCAP): Assessment of Basel Committee's Net Stable Funding Ratio standard - South Africa
",https://www.bis.org/bcbs/publ/d548.htm,"
								12 Apr 2023
	                        "
63,"
Regulatory Consistency Assessment Programme (RCAP): Assessment of Basel Committee's large exposures framework - South Africa
",https://www.bis.org/bcbs/publ/d549.htm,"
								12 Apr 2023
	                        "
64,"
Various technical amendments and FAQs
",https://www.bis.org/bcbs/publ/d547.htm,"
								30 Mar 2023
	                        "
65,"
Basel III Monitoring Report
",https://www.bis.org/bcbs/publ/d546.htm,"
								28 Feb 2023
	                        "
66,CGFS,CGFS,CGFS
67,"
Central bank asset purchases in response to the Covid-19 crisis
",https://www.bis.org/publ/cgfs68.htm,"
								17 Mar 2023
	                        "
68,FSB,FSB,FSB
