,Title,Link,Date
0,US FED,US FED,US FED
1,"Press Release

Federal Reserve Board announces approval of application by Vantage Bank Texas",https://www.federalreserve.gov/newsevents/pressreleases/orders20230627a.htm,6/27/2023
2,"FEDS Notes
The Transmission of Global Risk",https://www.federalreserve.gov/econres/notes/feds-notes/the-transmission-of-global-risk-20230627.html,6/27/2023
3,"Statistical Release
Money Stock Measures - H.6 Release",https://www.federalreserve.govhttps://www.federalreserve.gov/releases/h6/current/default.htm,6/27/2023
4,"FEDS 2023-043
College Networks and Re-employment of Displaced Workers",https://www.federalreserve.gov/econres/feds/college-networks-and-re-employment-of-displaced-workers.htm,6/27/2023
5,"FEDS 2023-042
A Comprehensive Empirical Evaluation of Biases in Expectation Formation",https://www.federalreserve.gov/econres/feds/a-comprehensive-empirical-evaluation-of-biases-in-expectation-formation.htm,6/27/2023
6,"Press Release

Federal Reserve Board announces approval of application by Banco de Reservas de la República Dominicana",https://www.federalreserve.gov/newsevents/pressreleases/orders20230626a.htm,6/26/2023
7,"IFDP 2023-1376
The Price of Macroeconomic Uncertainty: Evidence from Daily Options",https://www.federalreserve.gov/econres/ifdp/the-price-of-macroeconomic-uncertainty-evidence-from-daily-options.htm,6/26/2023
8,"FEDS 2023-041
End of an Era: The Coming Long-Run Slowdown in Corporate Profit Growth and Stock Returns",https://www.federalreserve.gov/econres/feds/end-of-an-era-the-coming-long-run-slowdown-in-corporate-profit-growth-and-stock-returns.htm,6/26/2023
9,"Speech by Governor Michelle W. Bowman

Responsive and Responsible Bank Regulation and Supervision",https://www.federalreserve.gov/newsevents/speech/bowman20230625a.htm,6/25/2023
10,"FEDS Notes
Distressed Firms and the Large Effects of Monetary Policy Tightenings",https://www.federalreserve.gov/econres/notes/feds-notes/distressed-firms-and-the-large-effects-of-monetary-policy-tightenings-20230623.html,6/23/2023
11,"FEDS Notes
2nd Annual International Roles of the U.S. Dollar Conference",https://www.federalreserve.gov/econres/notes/feds-notes/2nd-annual-international-roles-of-the-us-dollar-conference-20230623.html,6/23/2023
12,"FEDS Notes
""The International Role of the U.S. Dollar"" Post-COVID Edition",https://www.federalreserve.gov/econres/notes/feds-notes/the-international-role-of-the-us-dollar-post-covid-edition-20230623.html,6/23/2023
13,"Joint Press Release

Agencies release list of distressed or underserved nonmetropolitan middle-income geographies",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230623a.htm,6/23/2023
14,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,6/23/2023
15,"FEDS 2023-040
Finite-State Markov-Chain Approximations: A Hidden Markov Approach",https://www.federalreserve.gov/econres/feds/finite-state-markov-chain-approximations-a-hidden-markov-approach.htm,6/23/2023
16,"FEDS 2023-039
The FOMC's Use of Operational Targets: 85 Years and Counting",https://www.federalreserve.gov/econres/feds/the-fomcs-use-of-operational-targets-85-years-and-counting.htm,6/23/2023
17,"Press Release

Federal Open Market Committee announces tentative meeting schedule for 2024",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230623a.htm,6/23/2023
18,"Press Release

Federal Reserve Board announces termination of enforcement actions with Commerzbank AG, Frankfurt am Main and Commerzbank AG New York Branch",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230623a.htm,6/23/2023
19,"FEDS 2023-038
Inflation and Real Activity over the Business Cycle",https://www.federalreserve.gov/econres/feds/inflation-and-real-activity-over-the-business-cycle.htm,6/22/2023
20,"FEDS 2023-037
Firm Financial Conditions and the Transmission of Monetary Policy",https://www.federalreserve.gov/econres/feds/firm-financial-conditions-and-the-transmission-of-monetary-policy.htm,6/22/2023
21,"Surveys and Reports
Senior Credit Officer Opinion Survey on Dealer Financing Terms (SCOOS), June 2023",https://www.federalreserve.govhttps://www.federalreserve.gov/data/scoos.htm,6/22/2023
22,"Speech by Governor Michelle W. Bowman

Opening Remarks",https://www.federalreserve.gov/newsevents/speech/bowman20230622a.htm,6/22/2023
23,"Speech by Governor Christopher J. Waller

Welcoming Remarks",https://www.federalreserve.gov/newsevents/speech/waller20230622a.htm,6/22/2023
24,"Testimony by Chair Jerome H. Powell

Semiannual Monetary Policy Report to the Congress",https://www.federalreserve.gov/newsevents/testimony/powell20230621a.htm,6/21/2023
25,"Testimony by Governor Lisa D. Cook

Nomination hearing",https://www.federalreserve.gov/newsevents/testimony/cook20230621a.htm,6/21/2023
26,"Testimony by Governor Philip N. Jefferson

Nomination hearing",https://www.federalreserve.gov/newsevents/testimony/jefferson20230621a.htm,6/21/2023
27,"Statistical Release
Enhanced Financial Accounts, June 2023",https://www.federalreserve.gov/releases/efa/enhanced-financial-accounts.htm,6/16/2023
28,"FEDS Notes
Accumulated Savings During the Pandemic: An International Comparison with Historical Perspective",https://www.federalreserve.gov/econres/notes/feds-notes/accumulated-savings-during-the-pandemic-an-international-comparison-with-historical-perspective-20230623.html,6/23/2023
29,"Press Release

Federal Reserve Board publishes a database of financial institutions with access to, or requests to access, Federal Reserve Bank master accounts and services",https://www.federalreserve.gov/newsevents/pressreleases/other20230616a.htm,6/16/2023
30,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,6/16/2023
31,"Monetary Policy Report
June 16, 2023",https://www.federalreserve.gov/monetarypolicy/publications/mpr_default.htm,6/16/2023
32,"Speech by Governor Christopher J. Waller

Financial Stability and Macroeconomic Policy",https://www.federalreserve.gov/newsevents/speech/waller20230616a.htm,6/16/2023
33,"Statistical Release
Household Debt Service and Financial Obligations Ratios",https://www.federalreserve.gov/releases/housedebt/,6/15/2023
34,"Press Release

Federal Reserve Board issues enforcement action with AgCom Holdings, Inc.",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230615a.htm,6/15/2023
35,"Statistical Release
Industrial Production and Capacity Utilization - G.17",https://www.federalreserve.gov/releases/g17/current/default.htm,6/15/2023
36,"Press Release

Federal Reserve Board announces that results from its annual bank stress tests will be released on Wednesday, June 28, at 4:30 p.m. EDT",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230614a.htm,6/14/2023
37,"Notice of a Meeting
A closed meeting of the Board of Governors of the Federal Reserve System was held at 10:30 a.m. on June 13, 2023 and continued at 9:00 a.m. on June 14, 2023. Matter(s) considered: Discussion of Monetary Policy Issues.",https://www.federalreserve.gov/aboutthefed/boardmeetings/20230613closed.htm,6/14/2023
38,"Press Release

Federal Reserve issues FOMC statement",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230614a.htm,6/14/2023
39,"Press Release

Federal Reserve Board and Federal Open Market Committee release economic projections from the June 13-14 FOMC meeting",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230614b.htm,6/14/2023
40,BOJ,BOJ,BOJ
41,"Speech by Board Member ADACHI in Kagoshima on June 21, 2023 (Economic Activity, Prices, and Monetary Policy in Japan)",/en/about/release_2023/rel230627a.htm,"June 27, 2023"
42,"Minutes of the Seventeenth Round of the ""Bond Market Group"" Meetings (June 5-6, 2023)[PDF 155KB]",/en/paym/bond/mbond_list/mbond2306.pdf,"June 27, 2023"
43,Semiannual Report on Currency and Monetary Control (Summary),/en/mopo/diet/d_report/hanki23a.htm,"June 27, 2023"
44,Measures of Underlying Inflation,/en/research/research_data/cpi/index.htm,"June 27, 2023"
45,"Flow of Funds Accounts (Retroactive Revision and 1st Quarter 2023, Preliminary Figures)",/en/statistics/sj/sj.htm,"June 27, 2023"
46,"Summary of Opinions at the Monetary Policy Meeting on June 15 and 16, 2023[PDF 319KB]",/en/mopo/mpmsche_minu/opinion_2023/opi230616.pdf,"June 26, 2023"
47,Services Producer Price Index (May)[PDF 239KB],/en/statistics/pi/cspi_release/sppi2305.pdf,"June 26, 2023"
48,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230620.xlsx,"June 22, 2023"
49,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230620.xlsx,"June 22, 2023"
50,Bank of Japan Accounts (June 20),/en/statistics/boj/other/acmai/release/2023/ac230620.htm,"June 22, 2023"
51,"Minutes of the Monetary Policy Meeting on April 27 and 28, 2023[PDF 484KB]",/en/mopo/mpmsche_minu/minu_2023/g230428.pdf,"June 21, 2023"
52,Statistics on Securities Financing Transactions in Japan (May 2023),/en/statistics/bis/repo/index.htm,"June 21, 2023"
53,Developments in Real Exports and Real Imports,/en/research/research_data/reri/index.htm,"June 20, 2023"
54,Each Category's Amount Outstanding of the Interest Scheme to Promote Lending (April 2023)[PDF 77KB],/en/mopo/measures/mkt_ope/oth_b/mope230620a.pdf,"June 20, 2023"
55,The Results of BIS International Locational Banking Statistics and International Consolidated Banking Statistics in Japan (end-Mar. 2023),/en/statistics/bis/ibs/index.htm,"June 20, 2023"
56,(Research Paper) Heterogeneity and Wage Growth of Full-time Workers in Japan: An Empirical Analysis Using Micro Data,/en/research/wps_rev/wps_2023/wp23e11.htm,"June 19, 2023"
57,BOJ Current Account Balances by Sector (May)[XLSX 39KB],/en/statistics/boj/other/cabs/cabs.xlsx,"June 16, 2023"
58,"Amendment to ""Principal Terms and Conditions of Complementary Deposit Facility""[PDF 108KB]",/en/mopo/mpmdeci/mpr_2023/mpr230616a.pdf,"June 16, 2023"
59,Statement on Monetary Policy[PDF 373KB],/en/mopo/mpmdeci/mpr_2023/k230616a.pdf,"June 16, 2023"
60,Loan Disbursement under the Fund-Provisioning Measure to Stimulate Bank Lending(June 2023)[PDF 21KB],/en/mopo/measures/mkt_ope/len_b/mope230615a.pdf,"June 15, 2023"
61,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230609.xlsx,"June 13, 2023"
62,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230609.xlsx,"June 13, 2023"
63,"NGFS publishes the ""NGFS Survey on Climate Scenarios - Key findings""",/en/about/climate/cli230613a.htm,"June 13, 2023"
64,Bank of Japan Accounts (June 10),/en/statistics/boj/other/acmai/release/2023/ac230610.htm,"June 13, 2023"
65,Basic Figures on Fails (May)[PDF 288KB],/en/statistics/set/bffail/sjgb2305.pdf,"June 12, 2023"
66,Average Contract Interest Rates on Loans and Discounts (Apr.)[PDF 148KB],/en/statistics/dl/loan/yaku/yaku2304.pdf,"June 12, 2023"
67,Corporate Goods Price Index (May)[PDF 205KB],/en/statistics/pi/cgpi_release/cgpi2305.pdf,"June 12, 2023"
68,Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan[PDF 186KB],/en/mopo/mpmdeci/mpr_2023/mpr230609a.pdf,"June  9, 2023"
69,Money Stock (May)[PDF 146KB],/en/statistics/money/ms/ms2305.pdf,"June  9, 2023"
70,"Revision of Figures for the ""International Investment Position of Japan (Quarterly Data)""",/en/statistics/outline/notice_2023/not230608a.htm,"June  8, 2023"
71,Principal Figures of Financial Institutions (May)[PDF 235KB],/en/statistics/dl/depo/kashi/kasi2305.pdf,"June  8, 2023"
72,Fifth Meeting of the Cross-Industry Forum on Interest Rate Benchmarks,/en/paym/market/i_forum/ifo230607a.htm,"June  7, 2023"
73,Amounts Outstanding in the Call Money Market (May)[XLSX 34KB],/en/statistics/market/short/call/call.xlsx,"June  7, 2023"
74,Consumption Activity Index,/en/research/research_data/cai/index.htm,"June  7, 2023"
75,Market Operations by the Bank of Japan (May)[XLSX 99KB],/en/statistics/boj/fm/ope/m_release/2023/ope2305.xlsx,"June  7, 2023"
76,Monetary Base and the Bank of Japan's Transactions (May)[PDF 133KB],/en/statistics/boj/other/mbt/mbt2305.pdf,"June  7, 2023"
77,Bank of Japan's Transactions with the Government (May)[PDF 91KB],/en/statistics/boj/other/tseifu/release/2023/seifu2305.pdf,"June  7, 2023"
78,Sources of Changes in Current Account Balances (Projections for June)[XLSX 17KB],/en/statistics/boj/fm/juqp/juqp2306.xlsx,"June  5, 2023"
79,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230531.xlsx,"June  2, 2023"
80,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230531.xlsx,"June  2, 2023"
81,Collateral Accepted by the Bank of Japan (End of May)[XLSX 17KB],/en/statistics/boj/other/col/col2305.xlsx,"June  2, 2023"
82,"Financial System Report Annex ""Regional and Shinkin Banks' Recent Efforts to Address Climate Change""",/en/research/brp/fsr/fsrb230602.htm,"June  2, 2023"
83,Bank of Japan Accounts (May 31),/en/statistics/boj/other/acmai/release/2023/ac230531.htm,"June  2, 2023"
84,Monetary Base (May),/en/statistics/boj/other/mb/mb.htm,"June  2, 2023"
85,Bond Market Survey (May 2023)[PDF 160KB],/en/paym/bond/bond_list/bond2305.pdf,"June  1, 2023"
86,Sources of Changes in Current Account Balances and Market Operations (May)[XLSX 28KB],/en/statistics/boj/fm/juqf/juqf05.xlsx,"June  1, 2023"
87,Semiannual Report on Currency and Monetary Control (Summary),/en/mopo/diet/d_report/hanki23a.htm,"June 27, 2023"
88,"Summary of Opinions at the Monetary Policy Meeting on June 15 and 16, 2023[PDF 319KB]",/en/mopo/mpmsche_minu/opinion_2023/opi230616.pdf,"June 26, 2023"
89,"Minutes of the Monetary Policy Meeting on April 27 and 28, 2023[PDF 484KB]",/en/mopo/mpmsche_minu/minu_2023/g230428.pdf,"June 21, 2023"
90,Each Category's Amount Outstanding of the Interest Scheme to Promote Lending (April 2023)[PDF 77KB],/en/mopo/measures/mkt_ope/oth_b/mope230620a.pdf,"June 20, 2023"
91,"Amendment to ""Principal Terms and Conditions of Complementary Deposit Facility""[PDF 108KB]",/en/mopo/mpmdeci/mpr_2023/mpr230616a.pdf,"June 16, 2023"
92,Statement on Monetary Policy[PDF 373KB],/en/mopo/mpmdeci/mpr_2023/k230616a.pdf,"June 16, 2023"
93,Loan Disbursement under the Fund-Provisioning Measure to Stimulate Bank Lending(June 2023)[PDF 21KB],/en/mopo/measures/mkt_ope/len_b/mope230615a.pdf,"June 15, 2023"
94,Review of the Benchmark Ratio Used to Calculate the Macro Add-on Balance in Current Account Balances at the Bank of Japan[PDF 186KB],/en/mopo/mpmdeci/mpr_2023/mpr230609a.pdf,"June  9, 2023"
95,"Speech by Board Member ADACHI in Kagoshima on June 21, 2023 (Economic Activity, Prices, and Monetary Policy in Japan)",/en/about/release_2023/rel230627a.htm,"June 27, 2023"
96,"Flow of Funds Accounts (Retroactive Revision and 1st Quarter 2023, Preliminary Figures)",/en/statistics/sj/sj.htm,"June 27, 2023"
97,Services Producer Price Index (May)[PDF 239KB],/en/statistics/pi/cspi_release/sppi2305.pdf,"June 26, 2023"
98,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230620.xlsx,"June 22, 2023"
99,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230620.xlsx,"June 22, 2023"
100,Bank of Japan Accounts (June 20),/en/statistics/boj/other/acmai/release/2023/ac230620.htm,"June 22, 2023"
